AXP,DuPont,3M,Walmart,Alcoa,Exxon,McDonald,WaltDisney,Boeing,Ford,Merck,CAT,GE,PG,Chevron,IBM,Pfizer,CocaCola,J&J,UTX
1.9762,1.8093,2.1595,1.8758,1.1714,2.0006,1.9986,1.9367,2.1008,1.2297,1.768,2.0336,1.416,1.8939,2.1121,2.2695,1.4749,1.623,2.0218,2.0564
1.9769,1.8096,2.1575,1.8738,1.1726,1.9997,2.0006,1.9369,2.1026,1.2307,1.7641,2.0321,1.4185,1.8924,2.1115,2.2648,1.4707,1.623,2.0219,2.0594
1.9746,1.8098,2.1535,1.8726,1.1729,1.9968,1.9995,1.9332,2.0994,1.2287,1.7591,2.0301,1.4161,1.8886,2.1133,2.2528,1.4649,1.6238,2.0167,2.0576
1.9749,1.8098,2.1548,1.8742,1.1614,1.9991,2.0026,1.9309,2.1039,1.2287,1.7567,2.0305,1.4183,1.891,2.1143,2.2538,1.4648,1.622,2.0182,2.0618
1.972,1.8246,2.155,1.8717,1.159,2.0026,2.0028,1.9266,2.1021,1.2227,1.7643,2.0295,1.4209,1.8887,2.1161,2.2506,1.4636,1.6204,2.0209,2.0587
1.9736,1.8254,2.1547,1.8758,1.1679,2.0031,2.0032,1.9238,2.0989,1.2204,1.7666,2.0291,1.4226,1.8926,2.1201,2.2515,1.4667,1.6197,2.0214,2.0601
1.9726,1.8222,2.153,1.8778,1.1635,2.0056,2.0026,1.9174,2.106,1.2151,1.7597,2.0266,1.4272,1.8909,2.118,2.2519,1.4592,1.6186,2.0166,2.0584
1.9775,1.8263,2.1561,1.8767,1.1587,2.0125,2.0045,1.9178,2.1116,1.2177,1.764,2.0305,1.4265,1.8937,2.1169,2.2549,1.4615,1.6173,2.0172,2.0639
1.9777,1.8292,2.1593,1.8761,1.1641,2.0102,2.0045,1.9181,2.1157,1.2191,1.7671,2.0329,1.4224,1.8959,2.1112,2.2535,1.4664,1.6169,2.0194,2.067
1.9756,1.8226,2.1572,1.8772,1.1593,2.0051,2.0045,1.9231,2.1181,1.218,1.7625,2.0244,1.4221,1.8976,2.1063,2.2565,1.4636,1.6179,2.0133,2.0655
1.9778,1.8258,2.1568,1.8762,1.1553,2.0056,2.0021,1.9221,2.117,1.214,1.7634,2.0253,1.4213,1.8952,2.1054,2.2583,1.4654,1.6155,2.0091,2.0642
1.9737,1.8252,2.1548,1.8722,1.1605,2.0042,2.0017,1.9199,2.1169,1.2122,1.7607,2.022,1.4247,1.894,2.101,2.2552,1.4619,1.6087,2.0054,2.0634
1.9723,1.8272,2.1537,1.8742,1.1449,2.0064,2.001,1.9206,2.1172,1.2111,1.7608,2.0226,1.4236,1.8946,2.0971,2.2554,1.4639,1.6061,2.0076,2.0629
1.9746,1.8284,2.1538,1.8738,1.1501,2.0052,1.9984,1.918,2.1164,1.2209,1.7621,2.0224,1.4265,1.8944,2.0939,2.2559,1.4627,1.6029,2.0079,2.0626
1.9741,1.827,2.153,1.8764,1.1517,2.001,1.9952,1.918,2.116,1.2238,1.7625,2.0219,1.4307,1.895,2.0944,2.2527,1.4615,1.6035,2.0079,2.0628
1.9756,1.8326,2.157,1.8789,1.1553,2.0023,1.9981,1.9259,2.1223,1.2235,1.7631,2.0302,1.4312,1.8966,2.091,2.2552,1.4612,1.6049,2.0113,2.0681
1.9765,1.8358,2.1587,1.8815,1.1553,2.0002,2.0001,1.9281,2.1324,1.2256,1.7606,2.0326,1.427,1.8971,2.0904,2.26,1.4622,1.6071,2.0145,2.0712
1.9778,1.8355,2.1597,1.8837,1.1446,2.0004,2.0022,1.9319,2.1346,1.2154,1.7566,2.0304,1.4205,1.8968,2.0881,2.2645,1.46,1.6054,2.0109,2.0747
1.9748,1.837,2.1577,1.8848,1.1389,2.0007,2.0047,1.9274,2.1355,1.218,1.7559,2.0281,1.4168,1.8965,2.0839,2.2648,1.461,1.6063,2.0107,2.0704
1.9651,1.835,2.1549,1.8854,1.1335,1.9962,2.0068,1.9283,2.131,1.2119,1.7578,2.0232,1.4208,1.8969,2.0846,2.2639,1.4661,1.6052,2.0109,2.0677
1.9604,1.8349,2.1505,1.8844,1.1392,1.9941,2.0067,1.9255,2.1263,1.209,1.7565,2.0123,1.4214,1.8955,2.0834,2.2605,1.4643,1.6041,2.0086,2.0639
1.96,1.832,2.1524,1.882,1.1323,1.9955,2.0025,1.9237,2.128,1.209,1.7563,2.013,1.4208,1.8959,2.0855,2.2602,1.4636,1.6051,2.0076,2.0664
1.9608,1.8345,2.1507,1.8823,1.1313,1.9936,2.005,1.9257,2.1281,1.2117,1.7565,2.01,1.42,1.8983,2.0838,2.2633,1.4654,1.6049,2.0064,2.0648
1.9589,1.8348,2.1514,1.8824,1.1245,1.9962,2.0024,1.9243,2.126,1.2055,1.756,2.0035,1.4186,1.9006,2.0845,2.2601,1.4642,1.6054,2.0034,2.0605
1.9579,1.8326,2.1509,1.8778,1.1281,1.9993,2.002,1.9244,2.1256,1.2014,1.7547,2.0093,1.4171,1.8985,2.0856,2.2587,1.4637,1.6027,2.0003,2.061
1.9568,1.8291,2.148,1.8753,1.1294,1.9984,1.9984,1.9222,2.123,1.1978,1.7448,2.0064,1.4161,1.8969,2.0875,2.2571,1.4639,1.602,1.9984,2.0594
1.9584,1.8275,2.148,1.8756,1.1199,1.9997,2.0029,1.9229,2.1225,1.1948,1.7471,2.0097,1.4161,1.8967,2.0885,2.2611,1.4639,1.6039,2.0006,2.0591
1.9458,1.8271,2.1471,1.8758,1.1163,1.9996,2.0014,1.9207,2.1168,1.1948,1.748,2.0111,1.4158,1.8991,2.0903,2.2638,1.4621,1.602,2.0013,2.0579
